threshold,precision,recall,specificity,f1
0.45,0.9095477386934674,0.9282051282051282,0.8461538461538461,0.918781725888325
0.46,0.9095477386934674,0.9282051282051282,0.8461538461538461,0.918781725888325
0.47000000000000003,0.9090909090909091,0.9230769230769231,0.8461538461538461,0.9160305343511451
0.48,0.9111675126903553,0.9205128205128205,0.8504273504273504,0.9158163265306123
0.49,0.9203084832904884,0.9179487179487179,0.8675213675213675,0.9191270860077022
0.5,0.9203084832904884,0.9179487179487179,0.8675213675213675,0.9191270860077022
0.51,0.9201030927835051,0.9153846153846154,0.8675213675213675,0.9177377892030848
0.52,0.9248704663212435,0.9153846153846154,0.8760683760683761,0.9201030927835051
0.53,0.9248704663212435,0.9153846153846154,0.8760683760683761,0.9201030927835051
0.54,0.9296875,0.9153846153846154,0.8846153846153846,0.9224806201550388
0.55,0.9319371727748691,0.9128205128205128,0.8888888888888888,0.9222797927461139
0.56,0.9343832020997376,0.9128205128205128,0.8931623931623932,0.9234760051880674
0.5700000000000001,0.9368421052631579,0.9128205128205128,0.8974358974358975,0.9246753246753245
0.58,0.9393139841688655,0.9128205128205128,0.9017094017094017,0.9258777633289986
0.59,0.9391534391534392,0.9102564102564102,0.9017094017094017,0.9244791666666666
0.6,0.9416445623342176,0.9102564102564102,0.905982905982906,0.925684485006519
0.61,0.9413333333333334,0.9051282051282051,0.905982905982906,0.922875816993464
0.62,0.9436997319034852,0.9025641025641026,0.9102564102564102,0.9226736566186107
0.63,0.9487870619946092,0.9025641025641026,0.9188034188034188,0.9250985545335085
0.64,0.9487870619946092,0.9025641025641026,0.9188034188034188,0.9250985545335085
0.65,0.9486486486486486,0.9,0.9188034188034188,0.9236842105263158
0.66,0.9486486486486486,0.9,0.9188034188034188,0.9236842105263158
0.67,0.9538043478260869,0.9,0.9273504273504274,0.9261213720316622
0.68,0.953551912568306,0.8948717948717949,0.9273504273504274,0.9232804232804234
0.6900000000000001,0.9560439560439561,0.8923076923076924,0.9316239316239316,0.9230769230769231
0.7000000000000001,0.9556786703601108,0.8846153846153846,0.9316239316239316,0.918774966711052
0.71,0.9554317548746518,0.8794871794871795,0.9316239316239316,0.9158878504672897
0.72,0.9554317548746518,0.8794871794871795,0.9316239316239316,0.9158878504672897
0.73,0.9551820728291317,0.8743589743589744,0.9316239316239316,0.9129852744310575
0.74,0.9550561797752809,0.8717948717948718,0.9316239316239316,0.9115281501340483
0.75,0.9549295774647887,0.8692307692307693,0.9316239316239316,0.9100671140939597
0.76,0.9548022598870056,0.8666666666666667,0.9316239316239316,0.9086021505376345
0.77,0.9546742209631728,0.8641025641025641,0.9316239316239316,0.9071332436069985
0.78,0.9571428571428572,0.8589743589743589,0.9358974358974359,0.9054054054054054
0.79,0.9595375722543352,0.8512820512820513,0.9401709401709402,0.9021739130434783
0.8,0.9620991253644315,0.8461538461538461,0.9444444444444444,0.9004092769440655
0.81,0.967741935483871,0.8461538461538461,0.9529914529914529,0.9028727770177839
0.8200000000000001,0.973293768545994,0.841025641025641,0.9615384615384616,0.9023383768913342
0.8300000000000001,0.9732142857142857,0.8384615384615385,0.9615384615384616,0.9008264462809917
0.84,0.9730538922155688,0.8333333333333334,0.9615384615384616,0.8977900552486188
0.85,0.972972972972973,0.8307692307692308,0.9615384615384616,0.8962655601659751
0.86,0.975609756097561,0.8205128205128205,0.9658119658119658,0.8913649025069638
0.87,0.9755351681957186,0.8179487179487179,0.9658119658119658,0.8898186889818689
0.88,0.9753086419753086,0.8102564102564103,0.9658119658119658,0.8851540616246498
0.89,0.975,0.8,0.9658119658119658,0.8788732394366198
0.9,0.9778481012658228,0.7923076923076923,0.9700854700854701,0.8753541076487252
0.91,0.9776357827476039,0.7846153846153846,0.9700854700854701,0.8705547652916075
0.92,0.9805194805194806,0.7743589743589744,0.9743589743589743,0.8653295128939827
0.93,0.9801980198019802,0.7615384615384615,0.9743589743589743,0.8571428571428571
0.9400000000000001,0.98,0.7538461538461538,0.9743589743589743,0.8521739130434782
0.9500000000000001,0.9830508474576272,0.7435897435897436,0.9786324786324786,0.8467153284671532
0.96,0.9828178694158075,0.7333333333333333,0.9786324786324786,0.8399412628487517
0.97,0.9825174825174825,0.7205128205128205,0.9786324786324786,0.8313609467455622
0.98,0.9890909090909091,0.6974358974358974,0.9871794871794872,0.818045112781955
0.99,0.9920634920634921,0.6410256410256411,0.9914529914529915,0.7788161993769471
1.0,1.0,0.002564102564102564,1.0,0.005115089514066497
